id,cte,name
7709043455,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7719047184,"[24322104, 16942420, 24272272, 25898076, 1383854]","['Чашка Петри 90 ммх15 мм, вентилируемая, односекционная, однократного применения, стерильная , тип 1', 'Бахилы полиэтиленовые гладкие 35 микрон, ""Прочные"" (цвет синий) /Промед/', 'Шапочка ""Берет""', 'Салфетка антисептическая стерильная спиртовая (70% этиловый спирт) 110х125 мм', 'Шприц 5мл 3-х компонентный с иглой 0.8х40 мм']"
7727597777,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7714338609,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7715446501,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7702078650,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7727656790,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7733126624,"[33985937, 1345602, 28432039, 34325586, 1376881]","['Электрод для ЭКГ одноразовый', 'Стакан одноразовый 200 мл', 'Маска', 'Перчатки полиэтиленовые', 'Бахилы']"
7721816006,"[17602759, 18022621, 34414454, 19895486, 1345602]","['Гипохлорит натрия технический марка А', 'Комплексная уборка помещений', 'Набор для детского творчества Гамма ""Юный художник"", 7 предметов, в подарочной коробке', 'ПОДАРОК УТРЕННИК, тубус, вес нетто 500 гр. Россия', 'Стакан одноразовый 200 мл']"
7724733647,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7710958150,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
7716783901,"[21066213, 28432039, 1345602, 1376881, 24089899]","['Перчатки нитриловые неопудренные нестерильные смотровые INEKTA', 'Маска', 'Стакан одноразовый 200 мл', 'Бахилы', 'Перчатки нитриловые']"
